Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi
Maruti,Vitara BrezzaZDi AGS,2018,Bangalore,83000,diesel,automatic,718000,12227.0
Maruti,Alto K10VXi,2019,Bangalore,95500,petrol,manual,331000,5636.0
Mahindra,TharLX Hard Top Petrol MT,2023,Bangalore,16000,petrol,manual,1459000,25084.0
Tata,TiagoRevotorq XT,2018,Bangalore,64500,diesel,manual,494000,8412.0
Hyundai,VenueSX (O) 1.0 Turbo iMT,2023,Bangalore,38000,petrol,manual,1141000,19623.0
Hyundai,XcentS AT 1.2 (O),2014,Bangalore,92000,petrol,automatic,390000,7847.0
Hyundai,Elite i20Asta 1.2,2015,Bangalore,130500,petrol,manual,521000,9483.0
Kia,SeltosHTK Plus iMT,2022,Bangalore,14000,petrol,manual,1225000,21064.0
Maruti,CiazZXI+,2015,Bangalore,88000,petrol,manual,527000,9592.0
Maruti,DzireZXi Plus AMT,2018,Bangalore,87500,petrol,automatic,607000,10336.0
Tata,AltrozXZ 1.2,2022,Bangalore,23000,petrol,manual,754000,12840.0
Maruti,Alto K10VXI AMT (O),2018,Bangalore,31000,petrol,automatic,376000,6403.0
Maruti,BalenoZeta AT Petrol,2017,Bangalore,91000,petrol,automatic,551000,9383.0
Tata,NexonXZA Plus AMT Diesel,2018,Bangalore,120500,diesel,automatic,813000,13844.0
Kia,SeltosHTX IVT G,2020,Bangalore,111000,petrol,automatic,1131000,19450.0
Maruti,S-PressoVXi S-CNG,2023,Bangalore,49000,cng,manual,554000,9434.0
Kia,SonetGTX Plus 1.0 DCT,2022,Bangalore,23000,petrol,automatic,1131000,19450.0
Maruti,CiazZXI+,2016,Bangalore,59000,petrol,manual,579000,9860.0
Hyundai,i10Magna 1.2 Kappa2,2011,Bangalore,93500,petrol,manual,266000,19006.0
Kia,SonetGTX Plus 1.5 AT,2021,Bangalore,115500,diesel,automatic,1065000,18323.0
Ford,EcoSportTitanium Plus 1.5L Ti-VCT AT,2020,Bangalore,49500,petrol,automatic,875000,14900.0
Toyota,Urban Cruiser HyryderV Hybrid Dual Tone,2023,Bangalore,35500,hybrid,automatic,1961000,33726.0
Toyota,Innova Crysta2.7 ZX AT 7 STR,2018,Bangalore,47000,petrol,automatic,1748999,30078.0
Hyundai,AuraSX Plus 1.2 AMT CRDI,2022,Bangalore,40000,diesel,automatic,819000,13947.0
Hyundai,Grand i10Sportz 1.2 Kappa VTVT,2017,Bangalore,84000,petrol,manual,454000,7731.0
Maruti,Vitara BrezzaZDi Plus AGS,2019,Bangalore,76500,diesel,automatic,859000,14628.0
Hyundai,Grand i10Sportz (O) AT 1.2 Kappa VTVT,2017,Bangalore,123000,petrol,automatic,478000,8140.0
Hyundai,VenueSX 1.0  Turbo,2022,Bangalore,28000,petrol,manual,930000,15837.0
Maruti,DzireZXi Plus AMT,2017,Bangalore,109000,petrol,automatic,527000,8974.0
Volkswagen,PoloHighline1.2L (P),2015,Bangalore,72500,petrol,manual,537000,9163.0
Renault,Kwid1.0 RXT AMT,2018,Bangalore,45500,petrol,automatic,380000,6471.0
Hyundai,VernaSX (O) 1.6 VTVT AT,2018,Bangalore,30500,petrol,automatic,975000,16603.0
Maruti,CiazAlpha AT Petrol,2020,Bangalore,109500,petrol,automatic,795000,13538.0
Maruti,BalenoZeta,2021,Bangalore,96000,petrol,manual,657000,11188.0
Hyundai,VenueSX 1.0  Turbo,2021,Bangalore,31000,petrol,manual,922000,16109.0
Maruti,CiazAlpha Petrol,2020,Bangalore,122500,petrol,manual,738000,12567.0
Maruti,CiazAlpha Hybrid 1.5 AT,2019,Bangalore,114500,petrol,automatic,740000,12601.0
Ford,EcoSportTrend 1.5L TDCi,2015,Bangalore,143500,diesel,manual,537000,9774.0
Maruti,Vitara BrezzaZDi AGS,2019,Bangalore,64000,diesel,automatic,824000,14032.0
Hyundai,VenueSX 1.0 (O) Turbo iMT Dual Tone Sport,2020,Bangalore,52500,petrol,manual,901000,15735.0
Maruti,IgnisZeta 1.2 MT,2024,Bangalore,8000,petrol,manual,717000,12210.0
Hyundai,VenueSX Plus 1.0 Turbo DCT,2020,Bangalore,58500,petrol,automatic,966000,16450.0
